Nombre,Apellido,Experiencia,Educacion,Tecnologías,Habilidades,Apto
Luis,Sánchez,11,Postgrado,SQL,Empatía,Apto
Luis,Escobar,11,Universitario,Java,Trabajo en equipo,Apto
Gerardo,Rodríguez,4,Universitario,Python,Comunicación efectiva,Apto
Ignacio,Acosta,11,Universitario,C++,Liderazgo,Apto
Ignacio,Acosta,0,Universitario,Python,Resolución de problemas,Apto
Patricio,Quiroz,5,Universitario,SQL,Resolución de problemas,Apto
Antonio,Pérez,7,Universitario,SQL,Liderazgo,Apto
Benjamin,Fernández,4,Universitario,SQL,Empatía,Apto
Damián,Cabrera,4,Universitario,SQL,Adaptabilidad,Apto
Adrián,Escobar,4,Universitario,SQL,Liderazgo,Apto
Mauricio,Peña,14,Secundario,Python,Resolución de problemas,Apto
Adrián,Vega,10,Universitario,C++,Comunicación efectiva,Apto
Darío,Barrios,7,Universitario,Python,Empatía,Apto
Darío,Rodríguez,14,Secundario,Python,Adaptabilidad,Apto
Luis,López,0,Universitario,Python,Resolución de problemas,Apto
Leonardo,Martínez,5,Postgrado,Java,Empatía,Apto
Adrián,Martínez,10,Postgrado,C++,Trabajo en equipo,Apto
Mauricio,Cruz,13,Universitario,SQL,Comunicación efectiva,Apto
Victor,Sánchez,10,Universitario,C++,Comunicación efectiva,Apto
Leonardo,Vega,2,Postgrado,C++,Comunicación efectiva,Apto
Jorge,Silva,2,Postgrado,C++,Adaptabilidad,Apto
Enzo,Álvarez,10,Postgrado,C++,Liderazgo,Apto
Victor,Ortiz,7,Secundario,SQL,Liderazgo,Apto
Esteban,Cruz,6,Postgrado,Python,Comunicación efectiva,Apto
Gerardo,Acosta,7,Postgrado,C++,Trabajo en equipo,Apto
Jorge,Morales,9,Postgrado,Python,Liderazgo,Apto
Jorge,Álvarez,14,Secundario,SQL,Adaptabilidad,Apto
Alejandro,Silva,7,Secundario,SQL,Resolución de problemas,Apto
Federico,Sánchez,4,Universitario,Python,Trabajo en equipo,Apto
Jorge,Cruz,3,Secundario,C++,Adaptabilidad,No Apto
Jorge,Acosta,10,Universitario,C++,Resolución de problemas,Apto
Antonio,Montoya,11,Universitario,Python,Adaptabilidad,Apto
